Time'QW   0'DW  10'DW  11'DW  12'DW  13'DW  14'DW  15'DW  16'DW  17'DW  90'DW  91'DW  92'DW 163'DW 165'DW 166'
 8: 6:29,287'F53A'+01057'-00076'+00795'+07819'+07642'+00232'+00251'+01520'+01872'+00000'+02164'+00296'+00296'+00296'
 8: 6:29,557'F53A'+01059'-00076'+00795'+07817'+07642'+00232'+00251'+01519'+01872'+00000'+02164'+00297'+00297'+00297'
 8: 6:29,813'F53A'+01060'-00076'+00795'+07817'+07642'+00232'+00251'+01519'+01872'+00000'+02164'+00299'+00299'+00299'
 8: 6:30, 83'F53A'+01061'-00076'+00795'+07817'+07642'+00231'+00251'+01520'+01872'+00000'+02163'+00300'+00300'+00300'
 8: 6:30,354'F53A'+01063'-00076'+00795'+07817'+07642'+00231'+00251'+01519'+01872'+00000'+02163'+00302'+00302'+00302'
 8: 6:30,714'F53A'+01065'-00076'+00795'+07817'+07642'+00230'+00251'+01519'+01872'+00000'+02163'+00303'+00303'+00303'
 8: 6:30,999'F53A'+01066'-00076'+00794'+07817'+07642'+00230'+00251'+01519'+01872'+00000'+02163'+00304'+00304'+00304'
 8: 6:31,240'F53A'+01067'-00076'+00794'+07817'+07642'+00230'+00251'+01519'+01872'+00000'+02163'+00305'+00305'+00305'
 8: 6:31,525'F53A'+01069'-00076'+00793'+07817'+07642'+00229'+00251'+01519'+01872'+00000'+02162'+00306'+00306'+00306'
 8: 6:31,781'F53A'+01070'-00076'+00793'+07817'+07642'+00229'+00251'+01519'+01872'+00000'+02162'+00307'+00307'+00307'
 8: 6:32, 66'F53A'+01072'-00076'+00793'+07817'+07642'+00228'+00252'+01519'+01872'+00000'+02162'+00308'+00308'+00308'
 8: 6:32,336'F53A'+01073'-00076'+00794'+07817'+07642'+00228'+00252'+01519'+01872'+00000'+02162'+00308'+00308'+00308'
 8: 6:32,577'F53A'+01074'-00076'+00795'+07817'+07642'+00227'+00251'+01520'+01872'+00000'+02161'+00309'+00309'+00309'
 8: 6:32,862'F53A'+01076'-00076'+00795'+07817'+07642'+00227'+00252'+01519'+01872'+00000'+02161'+00309'+00309'+00309'
 8: 6:33,102'F53A'+01077'-00076'+00795'+07817'+07642'+00227'+00252'+01519'+01872'+00000'+02161'+00310'+00310'+00310'
 8: 6:33,373'F53A'+01079'-00076'+00795'+07817'+07642'+00226'+00252'+01519'+01872'+00000'+02161'+00310'+00310'+00310'
 8: 6:33,628'F53A'+01080'-00076'+00795'+07817'+07642'+00226'+00252'+01519'+01872'+00000'+02161'+00311'+00311'+00311'
 8: 6:33,899'F53A'+01082'-00076'+00795'+07817'+07642'+00225'+00252'+01519'+01872'+00000'+02160'+00311'+00311'+00311'
 8: 6:34,154'F53A'+01083'-00076'+00795'+07817'+07642'+00225'+00252'+01520'+01872'+00000'+02160'+00311'+00311'+00311'
 8: 6:34,424'F53A'+01084'-00076'+00795'+07817'+07642'+00224'+00252'+01519'+01872'+00000'+02160'+00312'+00312'+00312'
 8: 6:34,710'F53A'+01086'-00076'+00795'+07817'+07642'+00224'+00252'+01520'+01872'+00000'+02160'+00312'+00312'+00312'
 8: 6:34,950'F53A'+01087'-00076'+00795'+07817'+07642'+00224'+00252'+01519'+01872'+00000'+02160'+00312'+00312'+00312'
 8: 6:35,221'F53A'+01088'-00075'+00795'+07817'+07642'+00223'+00252'+01519'+01872'+00000'+02159'+00312'+00312'+00312'
 8: 6:35,506'F53A'+01090'-00075'+00795'+07817'+07642'+00223'+00252'+01520'+01872'+00000'+02159'+00313'+00313'+00313'
 8: 6:35,746'F53A'+01091'-00075'+00795'+07817'+07642'+00222'+00252'+01520'+01872'+00000'+02159'+00313'+00313'+00313'
 8: 6:36,  2'F53A'+01093'-00075'+00795'+07817'+07642'+00222'+00252'+01519'+01872'+00000'+02159'+00313'+00313'+00313'
 8: 6:36,287'F53A'+01094'-00075'+00795'+07817'+07642'+00221'+00252'+01520'+01872'+00000'+02158'+00313'+00313'+00313'
 8: 6:36,527'F53A'+01096'-00075'+00795'+07817'+07642'+00221'+00252'+01519'+01872'+00000'+02158'+00313'+00313'+00313'
 8: 6:36,768'F53A'+01097'-00075'+00794'+07817'+07642'+00221'+00252'+01519'+01872'+00000'+02158'+00313'+00313'+00313'
 8: 6:37, 38'F53A'+01098'-00075'+00793'+07817'+07642'+00220'+00251'+01519'+01872'+00000'+02158'+00313'+00313'+00313'
 8: 6:37,278'F53A'+01100'-00075'+00793'+07817'+07642'+00220'+00251'+01519'+01872'+00000'+02158'+00313'+00313'+00313'
 8: 6:37,549'F53A'+01101'-00075'+00793'+07817'+07642'+00219'+00251'+01519'+01872'+00000'+02157'+00313'+00313'+00313'
 8: 6:37,804'F53A'+01102'-00075'+00793'+07817'+07642'+00219'+00251'+01519'+01872'+00000'+02157'+00313'+00313'+00313'
 8: 6:38, 75'F53A'+01104'-00075'+00793'+07817'+07642'+00218'+00251'+01519'+01872'+00000'+02157'+00313'+00313'+00313'
 8: 6:38,330'F53A'+01105'-00075'+00793'+07817'+07642'+00218'+00251'+01520'+01872'+00000'+02157'+00313'+00313'+00313'
 8: 6:38,600'F53A'+01107'-00075'+00794'+07817'+07642'+00218'+00251'+01520'+01872'+00000'+02157'+00312'+00312'+00312'
 8: 6:38,826'F53A'+01108'-00075'+00793'+07817'+07642'+00217'+00251'+01519'+01872'+00000'+02156'+00312'+00312'+00312'
 8: 6:39, 96'F53A'+01109'-00075'+00795'+07817'+07642'+00217'+00251'+01519'+01872'+00000'+02156'+00312'+00312'+00312'
 8: 6:39,366'F53A'+01111'-00075'+00795'+07817'+07642'+00216'+00251'+01519'+01872'+00000'+02156'+00312'+00312'+00312'
 8: 6:39,652'F53A'+01112'-00075'+00795'+07817'+07642'+00216'+00252'+01519'+01872'+00000'+02156'+00312'+00312'+00312'
 8: 6:39,892'F53A'+01114'-00074'+00795'+07817'+07642'+00216'+00252'+01519'+01872'+00000'+02156'+00312'+00312'+00312'
 8: 6:40,148'F53A'+01115'-00075'+00793'+07817'+07642'+00215'+00252'+01519'+01872'+00000'+02155'+00312'+00312'+00312'
 8: 6:40,418'F53A'+01117'-00075'+00793'+07817'+07642'+00215'+00252'+01519'+01872'+00000'+02155'+00312'+00312'+00312'
 8: 6:40,673'F53A'+01118'-00074'+00793'+07817'+07642'+00215'+00252'+01519'+01872'+00000'+02155'+00311'+00311'+00311'
 8: 6:40,914'F53A'+01119'-00074'+00793'+07815'+07642'+00214'+00252'+01519'+01872'+00000'+02155'+00311'+00311'+00311'
 8: 6:41,184'F53A'+01121'-00074'+00793'+07817'+07642'+00214'+00252'+01519'+01872'+00000'+02155'+00311'+00311'+00311'
 8: 6:41,439'F53A'+01122'-00074'+00793'+07817'+07642'+00213'+00252'+01520'+01872'+00000'+02154'+00311'+00311'+00311'
 8: 6:41,710'F53A'+01124'-00074'+00793'+07817'+07642'+00213'+00252'+01519'+01872'+00000'+02154'+00311'+00311'+00311'
 8: 6:41,980'F53A'+01125'-00074'+00793'+07817'+07642'+00213'+00252'+01519'+01872'+00000'+02154'+00311'+00311'+00311'
 8: 6:42,236'F53A'+01126'-00074'+00793'+07817'+07642'+00212'+00252'+01519'+01872'+00000'+02154'+00310'+00310'+00310'
 8: 6:42,476'F53A'+01128'-00074'+00793'+07817'+07644'+00212'+00252'+01519'+01872'+00000'+02154'+00310'+00310'+00310'
 8: 6:42,746'F53A'+01129'-00074'+00791'+07817'+07642'+00212'+00251'+01520'+01872'+00000'+02154'+00310'+00310'+00310'
 8: 6:43,  2'F53A'+01131'-00074'+00791'+07817'+07642'+00211'+00251'+01520'+01872'+00000'+02153'+00310'+00310'+00310'
 8: 6:43,302'F53A'+01132'-00074'+00791'+07817'+07642'+00211'+00251'+01520'+01872'+00000'+02153'+00309'+00309'+00309'
 8: 6:43,557'F53A'+01134'-00074'+00792'+07817'+07642'+00210'+00251'+01519'+01872'+00000'+02153'+00309'+00309'+00309'
 8: 6:43,813'F53A'+01135'-00074'+00791'+07817'+07642'+00210'+00251'+01519'+01872'+00000'+02153'+00309'+00309'+00309'
 8: 6:44, 83'F53A'+01136'-00074'+00793'+07816'+07642'+00210'+00252'+01519'+01872'+00000'+02153'+00309'+00309'+00309'
 8: 6:44,354'F53A'+01138'-00074'+00793'+07817'+07642'+00209'+00252'+01519'+01872'+00000'+02152'+00308'+00308'+00308'
 8: 6:44,639'F53A'+01140'-00074'+00793'+07817'+07642'+00209'+00251'+01520'+01872'+00000'+02152'+00308'+00308'+00308'
 8: 6:44,924'F53A'+01141'-00074'+00793'+07817'+07642'+00209'+00252'+01519'+01872'+00000'+02152'+00308'+00308'+00308'
 8: 6:45,165'F53A'+01142'-00074'+00793'+07817'+07642'+00208'+00252'+01519'+01872'+00000'+02152'+00308'+00308'+00308'
 8: 6:45,420'F53A'+01144'-00073'+00793'+07817'+07642'+00208'+00252'+01519'+01872'+00000'+02152'+00307'+00307'+00307'
 8: 6:45,826'F53A'+01146'-00073'+00793'+07819'+07642'+00207'+00252'+01519'+01872'+00000'+02151'+00307'+00307'+00307'
 8: 6:46, 96'F53A'+01148'-00073'+00793'+07817'+07642'+00207'+00252'+01520'+01872'+00000'+02151'+00307'+00307'+00307'
 8: 6:46,367'F53A'+01149'-00073'+00793'+07817'+07642'+00207'+00252'+01519'+01872'+00000'+02151'+00307'+00307'+00307'
 8: 6:46,607'F53A'+01150'-00073'+00793'+07817'+07642'+00206'+00252'+01520'+01872'+00000'+02151'+00306'+00306'+00306'
 8: 6:46,892'F53A'+01152'-00073'+00793'+07817'+07642'+00206'+00252'+01519'+01872'+00000'+02151'+00306'+00306'+00306'
 8: 6:47,133'F53A'+01153'-00073'+00793'+07816'+07642'+00206'+00252'+01519'+01872'+00000'+02151'+00306'+00306'+00306'
 8: 6:47,418'F53A'+01155'-00073'+00793'+07817'+07642'+00205'+00252'+01519'+01872'+00000'+02150'+00305'+00305'+00305'
 8: 6:47,703'F53A'+01156'-00073'+00793'+07817'+07642'+00205'+00252'+01519'+01872'+00000'+02150'+00305'+00305'+00305'
 8: 6:47,944'F53A'+01158'-00073'+00793'+07817'+07642'+00205'+00252'+01520'+01872'+00000'+02150'+00305'+00305'+00305'
 8: 6:48,199'F53A'+01159'-00073'+00793'+07817'+07642'+00204'+00251'+01519'+01872'+00000'+02150'+00304'+00304'+00304'
 8: 6:48,470'F53A'+01160'-00073'+00792'+07817'+07642'+00204'+00252'+01519'+01872'+00000'+02150'+00304'+00304'+00304'
 8: 6:48,740'F53A'+01162'-00073'+00791'+07817'+07642'+00204'+00252'+01520'+01872'+00000'+02150'+00304'+00304'+00304'
 8: 6:48,995'F53A'+01163'-00073'+00791'+07817'+07642'+00203'+00252'+01519'+01872'+00000'+02149'+00304'+00304'+00304'
 8: 6:49,266'F53A'+01165'-00073'+00792'+07817'+07642'+00203'+00252'+01519'+01872'+00000'+02149'+00303'+00303'+00303'
 8: 6:49,536'F53A'+01166'-00073'+00793'+07817'+07642'+00203'+00252'+01520'+01872'+00000'+02149'+00303'+00303'+00303'
 8: 6:49,822'F53A'+01168'-00073'+00793'+07817'+07642'+00202'+00252'+01519'+01872'+00000'+02149'+00303'+00303'+00303'
 8: 6:50, 62'F53A'+01169'-00073'+00793'+07817'+07642'+00202'+00252'+01519'+01872'+00000'+02149'+00303'+00303'+00303'
 8: 6:50,317'F53A'+01170'-00073'+00793'+07817'+07642'+00202'+00252'+01520'+01872'+00000'+02149'+00302'+00302'+00302'
 8: 6:50,573'F53A'+01172'-00073'+00793'+07817'+07642'+00201'+00252'+01520'+01872'+00000'+02148'+00302'+00302'+00302'
 8: 6:50,843'F53A'+01173'-00073'+00793'+07817'+07642'+00201'+00252'+01519'+01872'+00000'+02148'+00302'+00302'+00302'
 8: 6:51,113'F53A'+01175'-00073'+00793'+07817'+07644'+00201'+00252'+01519'+01872'+00000'+02148'+00301'+00301'+00301'
 8: 6:51,354'F53A'+01176'-00073'+00793'+07816'+07642'+00200'+00252'+01519'+01872'+00000'+02148'+00301'+00301'+00301'
 8: 6:51,609'F53A'+01177'-00073'+00793'+07817'+07642'+00200'+00252'+01519'+01872'+00000'+02148'+00301'+00301'+00301'
 8: 6:51,879'F53A'+01179'-00072'+00792'+07817'+07642'+00200'+00252'+01520'+01872'+00000'+02148'+00301'+00301'+00301'
 8: 6:52,120'F53A'+01180'-00072'+00791'+07817'+07642'+00200'+00252'+01519'+01872'+00000'+02148'+00301'+00301'+00301'
 8: 6:52,375'F53A'+01182'-00072'+00792'+07817'+07642'+00199'+00252'+01519'+01872'+00000'+02147'+00300'+00300'+00300'
 8: 6:52,616'F53A'+01183'-00072'+00791'+07817'+07642'+00199'+00252'+01520'+01872'+00000'+02147'+00300'+00300'+00300'
 8: 6:52,886'F53A'+01184'-00072'+00792'+07817'+07642'+00199'+00252'+01519'+01872'+00000'+02147'+00300'+00300'+00300'
 8: 6:53,141'F53A'+01186'-00072'+00791'+07817'+07642'+00198'+00252'+01520'+01872'+00000'+02147'+00300'+00300'+00300'
 8: 6:53,412'F53A'+01187'-00072'+00791'+07817'+07642'+00198'+00252'+01519'+01872'+00000'+02147'+00299'+00299'+00299'
 8: 6:53,667'F53A'+01188'-00072'+00791'+07817'+07642'+00198'+00252'+01519'+01872'+00000'+02147'+00299'+00299'+00299'
 8: 6:53,937'F53A'+01190'-00072'+00791'+07817'+07642'+00197'+00251'+01520'+01872'+00000'+02146'+00299'+00299'+00299'
 8: 6:54,193'F53A'+01191'-00072'+00791'+07817'+07642'+00197'+00252'+01519'+01872'+00000'+02146'+00299'+00299'+00299'
 8: 6:54,433'F53A'+01193'-00072'+00791'+07817'+07642'+00197'+00252'+01519'+01872'+00000'+02146'+00298'+00298'+00298'
 8: 6:54,704'F53A'+01194'-00072'+00791'+07817'+07642'+00197'+00251'+01519'+01872'+00000'+02146'+00298'+00298'+00298'
 8: 6:54,974'F53A'+01195'-00072'+00791'+07817'+07642'+00196'+00252'+01520'+01872'+00000'+02146'+00298'+00298'+00298'
 8: 6:55,214'F53A'+01197'-00072'+00791'+07817'+07642'+00196'+00252'+01519'+01872'+00000'+02146'+00298'+00298'+00298'
 8: 6:55,470'F53A'+01198'-00072'+00791'+07817'+07642'+00196'+00252'+01519'+01872'+00000'+02146'+00298'+00298'+00298'
 8: 6:55,725'F53A'+01200'-00072'+00791'+07817'+07642'+00195'+00252'+01519'+01872'+00000'+02145'+00297'+00297'+00297'
 8: 6:55,995'F53A'+01201'-00072'+00791'+07817'+07642'+00195'+00251'+01519'+01872'+00000'+02145'+00297'+00297'+00297'
 8: 6:56,281'F53A'+01202'-00072'+00791'+07817'+07642'+00195'+00252'+01519'+01872'+00000'+02145'+00297'+00297'+00297'
 8: 6:56,521'F53A'+01204'-00072'+00792'+07817'+07642'+00195'+00252'+01520'+01872'+00000'+02145'+00297'+00297'+00297'
 8: 6:56,792'F53A'+01205'-00072'+00793'+07817'+07642'+00194'+00252'+01519'+01872'+00000'+02145'+00297'+00297'+00297'
 8: 6:57, 32'F53A'+01207'-00072'+00793'+07817'+07642'+00194'+00252'+01519'+01872'+00000'+02145'+00297'+00297'+00297'
 8: 6:57,302'F53A'+01208'-00072'+00792'+07817'+07642'+00194'+00252'+01519'+01872'+00000'+02145'+00296'+00296'+00296'
 8: 6:57,558'F53A'+01209'-00072'+00791'+07817'+07642'+00193'+00252'+01519'+01872'+00000'+02144'+00296'+00296'+00296'
 8: 6:57,798'F53A'+01211'-00072'+00791'+07817'+07642'+00193'+00252'+01519'+01872'+00000'+02144'+00296'+00296'+00296'
 8: 6:58, 53'F53A'+01212'-00072'+00792'+07817'+07642'+00193'+00252'+01519'+01872'+00000'+02144'+00296'+00296'+00296'
 8: 6:58,459'F53A'+01214'-00072'+00793'+07817'+07642'+00192'+00252'+01519'+01872'+00000'+02144'+00296'+00296'+00296'
 8: 6:58,759'F53A'+01216'-00072'+00793'+07817'+07642'+00192'+00252'+01519'+01872'+00000'+02144'+00296'+00296'+00296'
 8: 6:59, 15'F53A'+01217'-00071'+00793'+07817'+07642'+00192'+00252'+01520'+01872'+00000'+02144'+00296'+00296'+00296'
 8: 6:59,285'F53A'+01219'-00071'+00791'+07817'+07642'+00192'+00252'+01519'+01872'+00000'+02144'+00295'+00295'+00295'
 8: 6:59,525'F53A'+01220'-00072'+00793'+07817'+07642'+00191'+00252'+01519'+01872'+00000'+02143'+00295'+00295'+00295'
 8: 6:59,781'F53A'+01221'-00071'+00791'+07817'+07642'+00191'+00251'+01519'+01872'+00000'+02143'+00295'+00295'+00295'
 8: 7: 0, 21'F53A'+01223'-00071'+00791'+07817'+07642'+00191'+00251'+01519'+01872'+00000'+02143'+00295'+00295'+00295'
 8: 7: 0,292'F53A'+01224'-00071'+00791'+07817'+07642'+00191'+00252'+01519'+01872'+00000'+02143'+00295'+00295'+00295'
 8: 7: 0,532'F53A'+01225'-00071'+00791'+07817'+07642'+00190'+00252'+01520'+01872'+00000'+02143'+00295'+00295'+00295'
 8: 7: 0,772'F53A'+01226'-00071'+00791'+07817'+07642'+00190'+00251'+01520'+01872'+00000'+02143'+00295'+00295'+00295'
 8: 7: 1, 43'F53A'+01228'-00071'+00791'+07817'+07642'+00190'+00251'+01519'+01872'+00000'+02143'+00295'+00295'+00295'
 8: 7: 1,298'F53A'+01229'-00071'+00791'+07817'+07642'+00189'+00251'+01519'+01872'+00000'+02142'+00295'+00295'+00295'
 8: 7: 1,553'F53A'+01231'-00071'+00791'+07817'+07642'+00189'+00251'+01520'+01872'+00000'+02142'+00295'+00295'+00295'
 8: 7: 1,989'F53A'+01233'-00071'+00791'+07817'+07642'+00189'+00251'+01519'+01872'+00000'+02142'+00295'+00295'+00295'
 8: 7: 2,229'F53A'+01234'-00071'+00791'+07817'+07644'+00189'+00251'+01519'+01872'+00000'+02142'+00294'+00294'+00294'
 8: 7: 2,500'F53A'+01236'-00071'+00792'+07817'+07642'+00188'+00251'+01520'+01872'+00000'+02142'+00294'+00294'+00294'
 8: 7: 2,755'F53A'+01237'-00071'+00791'+07817'+07642'+00188'+00252'+01519'+01872'+00000'+02142'+00294'+00294'+00294'
 8: 7: 3, 25'F53A'+01238'-00071'+00791'+07817'+07642'+00188'+00252'+01519'+01872'+00000'+02142'+00294'+00294'+00294'
 8: 7: 3,296'F53A'+01240'-00071'+00791'+07817'+07642'+00188'+00252'+01519'+01872'+00000'+02142'+00294'+00294'+00294'
 8: 7: 3,521'F53A'+01241'-00071'+00791'+07817'+07642'+00187'+00252'+01520'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 3,762'F53A'+01242'-00071'+00791'+07817'+07642'+00187'+00252'+01519'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 4, 32'F53A'+01244'-00071'+00791'+07817'+07644'+00187'+00252'+01519'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 4,287'F53A'+01245'-00071'+00791'+07817'+07642'+00187'+00252'+01519'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 4,558'F53A'+01247'-00071'+00791'+07817'+07642'+00186'+00252'+01519'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 4,813'F53A'+01248'-00071'+00791'+07817'+07642'+00186'+00252'+01519'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 5, 83'F53A'+01249'-00071'+00791'+07817'+07642'+00186'+00252'+01519'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 5,354'F53A'+01251'-00071'+00791'+07817'+07642'+00186'+00252'+01519'+01872'+00000'+02141'+00294'+00294'+00294'
 8: 7: 5,609'F53A'+01252'-00071'+00791'+07817'+07642'+00185'+00251'+01519'+01872'+00000'+02140'+00294'+00294'+00294'
 8: 7: 5,880'F53A'+01254'-00071'+00791'+07817'+07642'+00185'+00251'+01520'+01872'+00000'+02140'+00294'+00294'+00294'
 8: 7: 6,135'F53A'+01255'-00071'+00791'+07817'+07642'+00185'+00251'+01519'+01872'+00000'+02140'+00294'+00294'+00294'
 8: 7: 6,375'F53A'+01256'-00071'+00788'+07817'+07642'+00185'+00252'+01519'+01872'+00000'+02140'+00294'+00294'+00294'
 8: 7: 6,616'F53A'+01258'-00071'+00788'+07817'+07642'+00184'+00251'+01519'+01872'+00000'+02140'+00293'+00293'+00293'
 8: 7: 6,886'F53A'+01259'-00071'+00791'+07817'+07642'+00184'+00251'+01519'+01872'+00000'+02140'+00293'+00293'+00293'
 8: 7: 7,141'F53A'+01260'-00071'+00791'+07817'+07642'+00184'+00251'+01519'+01872'+00000'+02140'+00293'+00293'+00293'
 8: 7: 7,412'F53A'+01262'-00071'+00791'+07817'+07642'+00184'+00252'+01519'+01872'+00000'+02140'+00293'+00293'+00293'
 8: 7: 7,667'F53A'+01263'-00071'+00791'+07817'+07642'+00184'+00251'+01519'+01872'+00000'+02140'+00293'+00293'+00293'
 8: 7: 7,938'F53A'+01264'-00071'+00791'+07817'+07642'+00183'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7: 8,208'F53A'+01266'-00071'+00791'+07816'+07644'+00183'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7: 8,463'F53A'+01267'-00071'+00791'+07817'+07642'+00183'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7: 8,734'F53A'+01269'-00071'+00791'+07817'+07642'+00183'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7: 8,989'F53A'+01270'-00071'+00791'+07817'+07642'+00182'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7: 9,259'F53A'+01272'-00071'+00791'+07817'+07642'+00182'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7: 9,515'F53A'+01273'-00071'+00791'+07817'+07642'+00182'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7: 9,785'F53A'+01274'-00071'+00791'+07817'+07642'+00182'+00251'+01519'+01872'+00000'+02139'+00293'+00293'+00293'
 8: 7:10, 26'F53A'+01276'-00071'+00791'+07817'+07642'+00181'+00251'+01519'+01872'+00000'+02138'+00293'+00293'+00293'
 8: 7:10,281'F53A'+01277'-00071'+00792'+07817'+07642'+00181'+00251'+01519'+01872'+00000'+02138'+00293'+00293'+00293'
 8: 7:10,551'F53A'+01278'-00071'+00793'+07817'+07642'+00181'+00251'+01519'+01872'+00000'+02138'+00293'+00293'+00293'
 8: 7:10,837'F53A'+01280'-00071'+00791'+07817'+07642'+00181'+00251'+01519'+01872'+00000'+02138'+00293'+00293'+00293'
 8: 7:11, 77'F53A'+01281'-00071'+00791'+07817'+07642'+00180'+00251'+01519'+01872'+00000'+02138'+00293'+00293'+00293'
 8: 7:11,332'F53A'+01283'-00071'+00791'+07817'+07642'+00180'+00251'+01519'+01872'+00000'+02138'+00292'+00292'+00292'
 8: 7:11,588'F53A'+01284'-00071'+00791'+07817'+07642'+00180'+00251'+01519'+01872'+00000'+02138'+00292'+00292'+00292'
 8: 7:11,843'F53A'+01285'-00071'+00791'+07817'+07642'+00180'+00251'+01519'+01872'+00000'+02138'+00292'+00292'+00292'
 8: 7:12, 84'F53A'+01287'-00071'+00791'+07817'+07642'+00179'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:12,354'F53A'+01288'-00071'+00790'+07817'+07642'+00179'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:12,609'F53A'+01289'-00071'+00791'+07817'+07642'+00179'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:12,895'F53A'+01291'-00071'+00791'+07817'+07642'+00179'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:13,165'F53A'+01292'-00071'+00791'+07817'+07642'+00179'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:13,405'F53A'+01294'-00071'+00791'+07817'+07642'+00178'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:13,676'F53A'+01295'-00071'+00791'+07817'+07642'+00178'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:13,931'F53A'+01297'-00071'+00791'+07817'+07642'+00178'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:14,172'F53A'+01298'-00071'+00791'+07817'+07642'+00178'+00251'+01519'+01872'+00000'+02137'+00292'+00292'+00292'
 8: 7:14,412'F53A'+01299'-00071'+00791'+07817'+07642'+00177'+00251'+01519'+01872'+00000'+02136'+00292'+00292'+00292'
 8: 7:14,697'F53A'+01301'-00071'+00791'+07817'+07642'+00177'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:14,968'F53A'+01302'-00070'+00791'+07817'+07642'+00177'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:15,253'F53A'+01304'-00071'+00791'+07817'+07642'+00177'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:15,508'F53A'+01305'-00070'+00791'+07817'+07642'+00176'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:15,794'F53A'+01306'-00071'+00791'+07819'+07642'+00176'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:16, 64'F53A'+01308'-00070'+00790'+07817'+07642'+00176'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:16,305'F53A'+01309'-00070'+00791'+07817'+07642'+00176'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:16,575'F53A'+01311'-00070'+00790'+07817'+07642'+00176'+00251'+01519'+01872'+00000'+02136'+00291'+00291'+00291'
 8: 7:16,815'F53A'+01312'-00070'+00788'+07817'+07642'+00175'+00251'+01519'+01872'+00000'+02135'+00291'+00291'+00291'
 8: 7:17, 71'F53A'+01313'-00070'+00790'+07817'+07642'+00175'+00251'+01519'+01872'+00000'+02135'+00291'+00291'+00291'
 8: 7:17,326'F53A'+01315'-00070'+00788'+07817'+07642'+00175'+00251'+01519'+01872'+00000'+02135'+00290'+00290'+00290'
 8: 7:17,581'F53A'+01316'-00070'+00788'+07817'+07642'+00175'+00251'+01519'+01872'+00000'+02135'+00290'+00290'+00290'
 8: 7:17,837'F53A'+01317'-00070'+00788'+07817'+07642'+00174'+00251'+01519'+01872'+00000'+02135'+00290'+00290'+00290'
 8: 7:18,107'F53A'+01319'-00070'+00788'+07817'+07642'+00174'+00251'+01519'+01872'+00000'+02135'+00290'+00290'+00290'
 8: 7:18,348'F53A'+01320'-00070'+00788'+07817'+07642'+00174'+00251'+01519'+01872'+00000'+02135'+00290'+00290'+00290'
 8: 7:18,603'F53A'+01322'-00070'+00788'+07817'+07642'+00174'+00251'+01519'+01872'+00000'+02135'+00290'+00290'+00290'
 8: 7:18,873'F53A'+01323'-00070'+00788'+07817'+07642'+00174'+00251'+01519'+01872'+00000'+02135'+00290'+00290'+00290'
 8: 7:19,144'F53A'+01324'-00070'+00791'+07817'+07644'+00173'+00251'+01519'+01872'+00000'+02134'+00290'+00290'+00290'
 8: 7:19,414'F53A'+01326'-00070'+00791'+07817'+07642'+00173'+00251'+01519'+01872'+00000'+02134'+00289'+00289'+00289'
 8: 7:19,714'F53A'+01327'-00070'+00791'+07817'+07642'+00173'+00251'+01519'+01872'+00000'+02134'+00289'+00289'+00289'
 8: 7:19,955'F53A'+01329'-00070'+00791'+07817'+07642'+00173'+00251'+01519'+01872'+00000'+02134'+00289'+00289'+00289'
 8: 7:20,210'F53A'+01330'-00070'+00791'+07817'+07642'+00172'+00251'+01519'+01872'+00000'+02134'+00289'+00289'+00289'
 8: 7:20,481'F53A'+01332'-00070'+00791'+07817'+07642'+00172'+00251'+01519'+01872'+00000'+02134'+00289'+00289'+00289'
