Time'QW   0'DW  10'DW  11'DW  12'DW  13'DW  14'DW  15'DW  16'DW  17'DW  90'DW  91'DW  92'DW 163'DW 165'DW 166'
 8: 4:57,445'F53A'+01484'-00065'+00791'+07817'+07644'+00156'+00251'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:57,730'F53A'+01485'-00065'+00792'+07817'+07642'+00156'+00252'+01519'+01872'+00000'+02126'+00280'+00280'+00280'
 8: 4:58,  1'F53A'+01487'-00065'+00792'+07817'+07644'+00155'+00251'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,241'F53A'+01488'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,511'F53A'+01489'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:58,767'F53A'+01491'-00065'+00791'+07817'+07644'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59, 37'F53A'+01492'-00065'+00791'+07817'+07642'+00155'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,293'F53A'+01493'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,563'F53A'+01495'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 4:59,818'F53A'+01496'-00065'+00791'+07817'+07642'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0, 59'F53A'+01498'-00065'+00791'+07817'+07644'+00154'+00252'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0,344'F53A'+01499'-00065'+00791'+07817'+07642'+00154'+00251'+01519'+01872'+00000'+02125'+00280'+00280'+00280'
 8: 5: 0,614'F53A'+01501'-00065'+00791'+07815'+07642'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 0,900'F53A'+01502'-00065'+00791'+07817'+07644'+00153'+00252'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,155'F53A'+01503'-00065'+00791'+07817'+07644'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,411'F53A'+01505'-00065'+00791'+07817'+07644'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,666'F53A'+01506'-00065'+00788'+07817'+07642'+00153'+00251'+01519'+01872'+00000'+02124'+00280'+00280'+00280'
 8: 5: 1,906'F53A'+01507'-00065'+00791'+07817'+07644'+00152'+00251'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,162'F53A'+01509'-00065'+00791'+07817'+07642'+00152'+00252'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,432'F53A'+01510'-00065'+00791'+07817'+07642'+00152'+00251'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,687'F53A'+01511'-00065'+00791'+07816'+07642'+00152'+00252'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 2,958'F53A'+01513'-00065'+00791'+07817'+07644'+00152'+00251'+01519'+01872'+00000'+02124'+00279'+00279'+00279'
 8: 5: 3,198'F53A'+01514'-00065'+00791'+07817'+07642'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 3,469'F53A'+01516'-00065'+00791'+07817'+07642'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 3,709'F53A'+01517'-00065'+00793'+07817'+07644'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 3,964'F53A'+01518'-00065'+00792'+07817'+07642'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 4,235'F53A'+01520'-00065'+00791'+07815'+07644'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 4,475'F53A'+01521'-00065'+00791'+07817'+07642'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 4,730'F53A'+01522'-00065'+00791'+07817'+07642'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 5,  1'F53A'+01524'-00064'+00791'+07817'+07642'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 5,286'F53A'+01525'-00065'+00792'+07817'+07644'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 5,557'F53A'+01527'-00065'+00793'+07817'+07644'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 5,812'F53A'+01528'-00064'+00793'+07817'+07644'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 6, 82'F53A'+01530'-00064'+00791'+07817'+07642'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 6,338'F53A'+01531'-00064'+00791'+07815'+07642'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 6,638'F53A'+01533'-00064'+00791'+07815'+07642'+00149'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 6,894'F53A'+01534'-00064'+00791'+07817'+07642'+00148'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 7,179'F53A'+01535'-00064'+00791'+07815'+07644'+00148'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 7,449'F53A'+01537'-00064'+00790'+07817'+07644'+00148'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 7,735'F53A'+01539'-00064'+00791'+07817'+07644'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 7,975'F53A'+01540'-00064'+00791'+07817'+07644'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 8,215'F53A'+01541'-00064'+00791'+07817'+07642'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
