Адрес'A0.0'A0.1'A0.2'A0.3'A0.4'A0.5'A0.6'A0.7'A1.0'A1.1'A1.2'A1.3'A1.4'A1.5'A1.6'A1.7'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'
Имя'Z2'Z2R'Z1'Z1R'J'Z5'V1'V2'E1'E2'E3'M'F'D'H1'H2' DW10' DW11' DW12' DW13' DW14' DW15' DW16' DW17' DW90' DW91' DW92' DW163' DW165' DW166'
Комментарий'nasos 2 na linii 250 bar'nasos 2 na linii 200 bar'nasos 1 na linii 250 bar'nasos 1 na linii 200 bar'soedinenie nasosa 1 - nasosa 2'wspomogatelxnyj nasos 5 na linii'akkumulqtornaq batareq 1 na linii'akkumulqtornaq batareq 2 na linii'nazad puanson'snqtie prodwiveniq puansona'wkl.akkumulqtorow dlq prodwiv.puansona'wpered puanson - pressowanie'dekompressiq 0'zakrytx napolnitelxnyj klapan'zakrytx kontejner'otkrytx kontejner' poziciya pusnsona' poziciya kontejnera' poziciya nozha' poziciya zagr 1' poziciya zagr 2' davlenie gc' davlenie prizhima kontejnera' poziciya nk' rashod RSV7' rashod RSV5' rashod RSV6' vyhodnaya skorost petli os' rashod nasosa 2' rashod nasosa 1'
 8: 4:52,773'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01459'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53, 14'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01460'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53,269'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01462'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53,539'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01463'-00066'+00791'+07817'+07644'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:53,795'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01464'-00066'+00791'+07817'+07642'+00159'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54, 65'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01466'-00066'+00791'+07817'+07644'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54,305'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01467'-00066'+00791'+07817'+07642'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54,576'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01468'-00066'+00791'+07817'+07642'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:54,831'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01470'-00066'+00791'+07817'+07644'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
 8: 4:55,102'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01471'-00066'+00791'+07817'+07644'+00158'+00252'+01519'+01872'+00000'+02127'+00280'+00280'+00280'
